service_id,date,exception_type
chouette:TimeTable:34e63e82-b1e9-47b6-8b7e-cfa8312cd572:LOC,20231129,1
chouette:TimeTable:34e63e82-b1e9-47b6-8b7e-cfa8312cd572:LOC,20231130,1
chouette:TimeTable:34e63e82-b1e9-47b6-8b7e-cfa8312cd572:LOC,20231201,1
chouette:TimeTable:34e63e82-b1e9-47b6-8b7e-cfa8312cd572:LOC,20231202,1
chouette:TimeTable:34e63e82-b1e9-47b6-8b7e-cfa8312cd572:LOC,20231205,1
chouette:TimeTable:34e63e82-b1e9-47b6-8b7e-cfa8312cd572:LOC,20231206,1
chouette:TimeTable:34e63e82-b1e9-47b6-8b7e-cfa8312cd572:LOC,20231207,1
chouette:TimeTable:34e63e82-b1e9-47b6-8b7e-cfa8312cd572:LOC,20231208,1
chouette:TimeTable:34e63e82-b1e9-47b6-8b7e-cfa8312cd572:LOC,20231209,1
chouette:TimeTable:34e63e82-b1e9-47b6-8b7e-cfa8312cd572:LOC,20231212,1
chouette:TimeTable:34e63e82-b1e9-47b6-8b7e-cfa8312cd572:LOC,20231213,1
chouette:TimeTable:34e63e82-b1e9-47b6-8b7e-cfa8312cd572:LOC,20231214,1
chouette:TimeTable:34e63e82-b1e9-47b6-8b7e-cfa8312cd572:LOC,20231215,1
chouette:TimeTable:34e63e82-b1e9-47b6-8b7e-cfa8312cd572:LOC,20231216,1
chouette:TimeTable:34e63e82-b1e9-47b6-8b7e-cfa8312cd572:LOC,20231219,1
chouette:TimeTable:34e63e82-b1e9-47b6-8b7e-cfa8312cd572:LOC,20231220,1
chouette:TimeTable:34e63e82-b1e9-47b6-8b7e-cfa8312cd572:LOC,20231221,1
chouette:TimeTable:34e63e82-b1e9-47b6-8b7e-cfa8312cd572:LOC,20231222,1
chouette:TimeTable:7d76457c-6493-469b-b270-0435d300fbaf:LOC,20231126,1
chouette:TimeTable:7d76457c-6493-469b-b270-0435d300fbaf:LOC,20231203,1
chouette:TimeTable:7d76457c-6493-469b-b270-0435d300fbaf:LOC,20231210,1
chouette:TimeTable:7d76457c-6493-469b-b270-0435d300fbaf:LOC,20231217,1
chouette:TimeTable:2fdae6f7-82cb-431e-b34c-650722f76d14:LOC,20231125,1
chouette:TimeTable:2fdae6f7-82cb-431e-b34c-650722f76d14:LOC,20231202,1
chouette:TimeTable:2fdae6f7-82cb-431e-b34c-650722f76d14:LOC,20231209,1
chouette:TimeTable:2fdae6f7-82cb-431e-b34c-650722f76d14:LOC,20231216,1
chouette:TimeTable:41b3fef4-91e1-4e64-98b8-f1c26b917c9e:LOC,20231127,1
chouette:TimeTable:41b3fef4-91e1-4e64-98b8-f1c26b917c9e:LOC,20231128,1
chouette:TimeTable:41b3fef4-91e1-4e64-98b8-f1c26b917c9e:LOC,20231129,1
chouette:TimeTable:41b3fef4-91e1-4e64-98b8-f1c26b917c9e:LOC,20231130,1
chouette:TimeTable:41b3fef4-91e1-4e64-98b8-f1c26b917c9e:LOC,20231201,1
chouette:TimeTable:41b3fef4-91e1-4e64-98b8-f1c26b917c9e:LOC,20231204,1
chouette:TimeTable:41b3fef4-91e1-4e64-98b8-f1c26b917c9e:LOC,20231205,1
chouette:TimeTable:41b3fef4-91e1-4e64-98b8-f1c26b917c9e:LOC,20231206,1
chouette:TimeTable:41b3fef4-91e1-4e64-98b8-f1c26b917c9e:LOC,20231207,1
chouette:TimeTable:41b3fef4-91e1-4e64-98b8-f1c26b917c9e:LOC,20231208,1
chouette:TimeTable:41b3fef4-91e1-4e64-98b8-f1c26b917c9e:LOC,20231211,1
chouette:TimeTable:41b3fef4-91e1-4e64-98b8-f1c26b917c9e:LOC,20231212,1
chouette:TimeTable:41b3fef4-91e1-4e64-98b8-f1c26b917c9e:LOC,20231213,1
chouette:TimeTable:41b3fef4-91e1-4e64-98b8-f1c26b917c9e:LOC,20231214,1
chouette:TimeTable:41b3fef4-91e1-4e64-98b8-f1c26b917c9e:LOC,20231215,1
chouette:TimeTable:41b3fef4-91e1-4e64-98b8-f1c26b917c9e:LOC,20231218,1
chouette:TimeTable:41b3fef4-91e1-4e64-98b8-f1c26b917c9e:LOC,20231219,1
chouette:TimeTable:41b3fef4-91e1-4e64-98b8-f1c26b917c9e:LOC,20231220,1
chouette:TimeTable:41b3fef4-91e1-4e64-98b8-f1c26b917c9e:LOC,20231221,1
chouette:TimeTable:41b3fef4-91e1-4e64-98b8-f1c26b917c9e:LOC,20231222,1
chouette:TimeTable:2c64ea96-78a7-4336-85ed-a8ec860ea4db:LOC,20231125,1
chouette:TimeTable:2c64ea96-78a7-4336-85ed-a8ec860ea4db:LOC,20231202,1
chouette:TimeTable:2c64ea96-78a7-4336-85ed-a8ec860ea4db:LOC,20231209,1
chouette:TimeTable:2c64ea96-78a7-4336-85ed-a8ec860ea4db:LOC,20231216,1
chouette:TimeTable:0c3a923a-b513-4e26-84bf-b1560c22393c:LOC,20231127,1
chouette:TimeTable:0c3a923a-b513-4e26-84bf-b1560c22393c:LOC,20231128,1
chouette:TimeTable:0c3a923a-b513-4e26-84bf-b1560c22393c:LOC,20231129,1
chouette:TimeTable:0c3a923a-b513-4e26-84bf-b1560c22393c:LOC,20231130,1
chouette:TimeTable:0c3a923a-b513-4e26-84bf-b1560c22393c:LOC,20231201,1
chouette:TimeTable:0c3a923a-b513-4e26-84bf-b1560c22393c:LOC,20231204,1
chouette:TimeTable:0c3a923a-b513-4e26-84bf-b1560c22393c:LOC,20231205,1
chouette:TimeTable:0c3a923a-b513-4e26-84bf-b1560c22393c:LOC,20231206,1
chouette:TimeTable:0c3a923a-b513-4e26-84bf-b1560c22393c:LOC,20231207,1
chouette:TimeTable:0c3a923a-b513-4e26-84bf-b1560c22393c:LOC,20231208,1
chouette:TimeTable:0c3a923a-b513-4e26-84bf-b1560c22393c:LOC,20231211,1
chouette:TimeTable:0c3a923a-b513-4e26-84bf-b1560c22393c:LOC,20231212,1
